onset	duration	trial_type	response_time	dots_difference	stim_side	choice_accuracy	confidence	response_time2
4.4068	0	act-bad	0.76	14	right	cor	0.35	1.5
14.2812	0	act	0.34	14	right	cor	0.86	1.32
24.1228	0	act	0.32	13	right	cor	0.76	1.52
33.646	0	act	0.4	13	left	err	0.29	1.4
43.1202	0	act	0.34	14	right	cor	0.75	3.1
53.0828	0	act	0.48	14	left	cor	0.8	3.6
62.3002	0	act-bad	0.56	13	left	cor	0.19	0.4
71.3856	0	act	0.42	13	right	cor	0.73	3.46
81.1198	0	act	0.32	12	left	cor	0.89	0.58
90.5054	0	act	0.34	12	left	err	0.3	2.98
99.5382	0	act	0.46	13	right	cor	0.77	3.14
109.24	0	act	0.36	13	left	err	0.32	2.14
122.3652	0	obs	0.48	14	left	cor	0.69	3.38
131.5812	0	obs	0.34	12	left	err	0.56	0.72
140.6242	0	obs	0.32	12	left	cor	0.7	4.2
149.9988	0	obs-bad	0.76	14	right	cor	0.85	2.5
159.8812	0	obs	0.34	14	right	cor	0.71	1.02
169.7206	0	obs-bad	0.56	13	left	cor	0.86	2.52
178.8042	0	obs	0.42	13	right	cor	0.93	3.86
188.5382	0	obs	0.36	13	left	err	0.52	1.74
197.6628	0	obs	0.32	13	right	cor	0.9	1.8
207.1782	0	obs	0.46	13	right	cor	0.9	3.4
216.8824	0	obs	0.34	14	right	cor	0.75	3.1
226.8424	0	obs	0.4	13	left	err	0.4	1.18
240.3196	0	act	0.42	14	right	cor	0.77	1.54
250.0966	0	act	0.38	14	right	cor	0.85	0.5
259.759	0	act	0.34	13	right	cor	0.74	4.28
269.6764	0	act	0.4	13	left	err	0.19	1.2
279.1222	0	act-bad	0.54	14	left	cor	0.59	0.78
288.4182	0	act	0.48	14	left	cor	0.62	2.04
297.7584	0	act	0.42	13	right	cor	0.76	1.12
307.3182	0	act	0.36	13	right	cor	0.81	3.62
317.3384	0	act	0.42	12	left	err	0.36	0.72
326.601	0	act-bad	0.56	13	right	cor	0.41	1.62
336.221	0	act	0.4	13	left	cor	0.76	3.12
345.3774	0	act	0.42	12	left	err	0.48	0.96
358.3768	0	obs	0.4	13	left	cor	0.75	3.1
367.5356	0	obs-bad	0.54	14	left	cor	0.75	1.1
376.837	0	obs	0.38	14	right	cor	0.91	0.62
386.4972	0	obs	0.42	13	right	cor	0.95	1.5
396.0568	0	obs	0.42	12	left	err	0.82	1.64
405.315	0	obs	0.42	14	right	cor	0.78	1.56
415.0964	0	obs	0.42	12	left	err	0.5	1
424.0998	0	obs-bad	0.56	13	right	cor	0.94	2.68
433.719	0	obs	0.36	13	right	cor	0.89	3.78
443.7336	0	obs	0.48	14	left	cor	0.59	1.98
453.0738	0	obs	0.34	13	right	cor	0.86	0.52
462.9934	0	obs	0.4	13	left	err	0.29	1
